credit_amount,checking_status,age,duration,purpose,credit_history,employment,savings_status,property_magnitude,residence_since,installment_commitment,personal_status,job,other_payment_plans,housing,existing_credits,class
1169.0,1,67.0,6.0,6,1,4,0,3,4.0,4.0,3,1,1,1,2.0,1
5951.0,2,22.0,48.0,6,3,2,1,3,2.0,2.0,0,1,1,1,1.0,0
2096.0,0,49.0,12.0,2,1,3,1,3,3.0,2.0,3,3,1,1,1.0,1
7882.0,1,45.0,42.0,3,3,3,1,1,4.0,2.0,3,1,1,0,1.0,1
4870.0,1,53.0,24.0,4,2,2,1,2,4.0,3.0,3,1,1,0,2.0,0
9055.0,0,35.0,36.0,2,3,2,0,2,4.0,2.0,3,3,1,0,1.0,1
2835.0,0,53.0,24.0,3,3,4,3,1,4.0,3.0,3,1,1,1,1.0,1
6948.0,2,35.0,36.0,9,3,2,1,0,2.0,2.0,3,0,1,2,1.0,1
3059.0,0,61.0,12.0,6,3,3,4,3,4.0,2.0,1,3,1,1,1.0,1
5234.0,2,28.0,30.0,4,1,0,1,0,2.0,4.0,2,0,1,1,2.0,0
1295.0,2,25.0,12.0,4,3,1,1,0,1.0,3.0,0,1,1,2,1.0,0
4308.0,1,24.0,48.0,0,3,1,1,1,4.0,3.0,0,1,1,2,1.0,0
1567.0,2,22.0,12.0,6,3,2,1,0,1.0,1.0,0,1,1,1,1.0,1
1199.0,1,60.0,24.0,4,1,4,1,0,4.0,4.0,3,3,1,1,2.0,0
1403.0,1,28.0,15.0,4,3,2,1,0,4.0,2.0,0,1,1,2,1.0,1
1282.0,1,32.0,24.0,6,3,2,2,0,2.0,4.0,0,3,1,1,1.0,0
2424.0,0,53.0,24.0,6,1,4,0,1,4.0,4.0,3,1,1,1,2.0,1
8072.0,1,25.0,30.0,0,4,1,0,0,3.0,2.0,3,1,0,1,3.0,1
12579.0,2,44.0,24.0,9,3,4,1,2,2.0,4.0,0,0,1,0,1.0,0
3430.0,0,31.0,24.0,6,3,4,3,0,2.0,3.0,3,1,1,1,1.0,1
2134.0,0,48.0,9.0,4,1,2,1,0,4.0,4.0,3,1,1,1,3.0,1
2647.0,1,44.0,6.0,6,3,2,3,3,3.0,2.0,3,1,1,2,1.0,1
2241.0,1,48.0,10.0,4,1,1,1,3,3.0,1.0,3,3,1,2,2.0,1
1804.0,2,44.0,12.0,9,1,1,2,1,4.0,3.0,3,1,1,1,1.0,1
2069.0,0,26.0,10.0,3,1,2,0,0,1.0,2.0,2,1,1,1,2.0,1
1374.0,1,36.0,6.0,3,3,2,1,3,2.0,1.0,3,3,0,1,1.0,1
426.0,0,39.0,6.0,6,4,4,1,0,4.0,4.0,2,3,1,1,1.0,1
409.0,3,42.0,12.0,6,0,2,4,3,3.0,3.0,0,1,1,2,2.0,1
2415.0,2,34.0,7.0,6,3,2,1,3,2.0,3.0,3,1,1,1,1.0,1
6836.0,1,63.0,60.0,0,2,4,1,2,4.0,3.0,3,1,1,1,2.0,0
1913.0,2,36.0,18.0,0,3,1,4,3,3.0,3.0,2,1,0,1,1.0,1
4020.0,1,27.0,24.0,3,3,2,1,0,2.0,2.0,3,1,2,1,1.0,1
5866.0,2,30.0,18.0,4,3,2,2,0,2.0,2.0,3,1,1,1,2.0,1
1264.0,0,57.0,12.0,0,1,4,0,2,4.0,4.0,3,3,1,2,1.0,1
1474.0,3,33.0,12.0,3,3,1,1,1,1.0,4.0,0,0,0,1,1.0,1
4746.0,2,25.0,45.0,6,1,1,1,1,2.0,4.0,3,3,1,1,2.0,0
6110.0,0,31.0,48.0,2,1,2,1,2,3.0,1.0,3,1,0,0,1.0,1
2100.0,3,37.0,18.0,6,3,2,1,3,2.0,4.0,3,1,2,1,1.0,0
1225.0,3,37.0,10.0,1,3,2,1,0,2.0,2.0,3,1,1,1,1.0,1
458.0,2,24.0,9.0,6,3,2,1,3,3.0,4.0,3,1,1,1,1.0,1
2333.0,0,30.0,30.0,6,3,4,3,0,2.0,4.0,3,0,0,1,1.0,1
1158.0,2,26.0,12.0,6,3,2,3,0,1.0,3.0,1,1,1,1,1.0,1
6204.0,2,44.0,18.0,7,2,2,1,3,4.0,2.0,3,3,1,1,1.0,1
6187.0,1,24.0,30.0,9,1,3,2,0,4.0,1.0,2,1,1,2,2.0,1
6143.0,1,58.0,48.0,9,1,4,1,2,4.0,4.0,0,3,2,0,2.0,0
1393.0,0,35.0,11.0,4,1,1,1,0,4.0,4.0,0,0,1,1,2.0,1
2299.0,0,39.0,36.0,6,3,4,3,0,4.0,4.0,3,1,1,1,1.0,1
