experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
3,2023,3,2,84,25,0.18143584164291432
2,2023,2,0,66,70,0.05589972755963567
2,2023,2,0,66,70,0.04578436749777462
3,2023,3,1,47,12,0.3818391073307139
3,2023,3,1,47,12,0.25820692879685664
3,2023,3,2,8,70,0.48793799509067864
3,2023,3,2,8,70,0.2941726534612515
3,2023,3,1,47,12,0.48074485015779966
3,2023,3,1,47,12,0.30541194241887487
3,2023,3,1,47,70,0.31912387494717537
3,2023,3,1,47,70,0.19234469550518357
3,2023,3,1,25,70,0.2806855067121034
3,2023,3,1,25,70,0.21324977296636308
0,2023,3,2,8,70,0.4687412895510579
0,2023,3,2,8,70,0.28239387863366217
3,2023,3,1,38,70,0.31912387494717537
3,2023,3,1,38,70,0.19234469550518357
3,2023,3,1,47,70,0.37059981837309053
3,2023,3,1,47,70,0.32564266254259694
2,2023,3,1,25,70,0.32564266254259694
2,2023,3,1,25,70,0.23572835088160984
3,2023,3,1,88,20,0.6066248864831816
3,2023,3,1,88,20,0.3795912495391892
3,2023,3,1,4,28,0.5054712858645711
3,2023,3,1,4,28,0.31035722956022915
3,2023,3,1,18,70,0.49423199690694775
3,2023,3,1,18,70,0.3400289524083549
3,2023,3,1,69,70,0.43803555211883083
3,2023,3,1,69,70,0.2806855067121034
3,2023,3,1,50,12,0.1907711950511163
3,2023,3,1,50,12,0.15030975480367212
3,2023,3,1,33,70,0.5576215866279437
3,2023,3,1,33,70,0.19234469550518357
3,2023,3,1,23,70,0.40339606355143554
2,2023,3,1,33,70,0.3537408849366554
2,2023,3,1,33,70,0.2806855067121034
2,2023,3,1,25,70,0.22534324788476584
2,2023,3,1,25,70,0.13345082136723704
0,2023,3,2,41,53,0.21324977296636308
0,2023,3,2,22,53,0.05589972755963567
2,2022,3,2,69,38,0.03563304171124919
0,2023,3,2,8,70,0.4484206551156748
0,2023,3,2,8,70,0.23725689417984663
3,2023,3,1,33,70,0.596965841553
3,2023,3,1,33,70,0.486328528911947
3,2023,3,1,47,70,0.46669573896077043
3,2023,3,1,47,70,0.4043176852459607
3,2023,3,1,47,70,0.5774027351933608
3,2023,3,1,47,70,0.5391891527374413
3,2023,3,1,47,70,0.607299243820639
3,2023,3,1,47,70,0.40094589855867363
3,2023,3,1,47,70,0.47962092126203737
3,2023,3,1,47,70,0.43600798439087557
3,2023,3,1,33,70,0.4454534828308623
3,2023,3,1,33,70,0.2662992168463455
3,2023,3,1,88,70,0.4135563807691271
3,2023,3,1,88,70,0.30091622683582553
1,2023,3,1,47,70,0.5700971973709056
1,2023,3,1,47,70,0.4043176852459607
3,2023,3,1,33,70,0.5088430725518581
3,2023,3,1,33,70,0.3616083872069918
3,2023,3,1,47,70,0.3762194628519022
3,2023,3,1,47,70,0.2368522797773722
3,2023,3,1,33,70,0.5234541481967685
3,2023,3,1,33,70,0.38408696512223856
3,2023,3,1,33,70,0.5212062904052439
3,2023,3,1,33,70,0.4412949459165416
3,2023,3,2,8,70,0.34609816844547153
3,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,33,70,0.17166440382315654
3,2023,3,1,47,70,0.5212062904052439
3,2023,3,1,47,70,0.4412949459165416
3,2023,3,1,23,70,0.617864175440805
3,2023,3,1,23,70,0.4605141300340776
3,2023,3,1,31,70,0.6180889612199575
3,2023,3,1,31,70,0.3663288885691936
3,2023,3,1,33,70,0.4234244764739204
3,2023,3,1,33,70,0.30091622683582553
2,2023,3,2,47,31,0.1347141174460739
3,2023,3,1,69,70,0.32564266254259694
2,2023,3,0,6,20,0.14525432263053312
2,2023,3,2,69,54,0.20555760360376563
3,2023,3,1,18,70,0.40634075725833285
3,2023,3,1,18,70,0.2791120062580361
3,2023,3,1,33,70,0.49423199690694775
3,2023,3,1,33,70,0.3818391073307139
3,2023,3,1,33,70,0.4043176852459607
3,2023,3,1,33,70,0.30316408462735017
3,2023,3,1,47,25,0.09701079870883049
3,2023,3,1,47,25,0.07530098815828516
3,2023,3,1,47,70,0.22448906192398646
3,2023,3,1,47,70,0.14581403922062275
0,2023,3,1,69,70,0.3553053939595566
0,2023,3,1,69,70,0.3163927277304729
3,2023,3,1,33,70,0.4762491345747503
3,2023,3,1,33,70,0.4043176852459607
3,2023,3,2,25,70,0.44432955393509993
3,2023,3,2,25,70,0.22291556146991917
3,2023,3,1,25,70,0.31440337358497356
3,2023,3,1,25,70,0.13457475026299937
3,2023,3,1,33,70,0.3593605294154671
3,2023,3,1,33,70,0.28585557963261016
3,2023,3,1,33,70,0.3912126743213718
3,2023,3,1,33,70,0.2004369835546724
3,2023,3,1,4,70,0.33126230702140863
3,2023,3,1,4,70,0.25022703363694404
3,2023,3,1,33,70,0.544359225657948
3,2023,3,1,33,70,0.2892273663198972
3,2023,3,1,88,70,0.44477912549340487
3,2023,3,1,88,70,0.28742908008667745
0,2023,3,2,89,70,0.48299270794932436
0,2022,3,0,69,14,0.1155488819155345
3,2023,3,1,47,70,0.32564266254259694
3,2023,3,1,47,70,0.25820692879685664
3,2023,3,1,4,70,0.6398931817977468
3,2023,3,1,4,70,0.4695055612001763
3,2023,3,1,4,70,0.3926737818858628
3,2023,3,1,4,70,0.31184081570263544
3,2023,3,1,69,70,0.625057320373684
3,2023,3,1,69,70,0.4128595448537544
3,2023,3,1,4,70,0.6398931817977468
3,2023,3,1,4,70,0.4699551327584812
3,2023,3,1,33,70,0.40634075725833285
3,2023,3,1,33,70,0.2791120062580361
3,2023,3,1,33,70,0.5549241572781141
3,2023,3,1,33,70,0.27843764892057876
2,2023,3,1,29,70,0.3368819515002203
2,2023,3,1,29,70,0.30316408462735017
3,2023,3,1,33,70,0.35216738448258816
3,2023,3,1,33,70,0.3067606570937897
3,2023,3,2,69,70,0.384311750901391
2,2023,3,1,33,70,0.21324977296636308
2,2023,3,1,33,70,0.14581403922062275
0,2023,3,1,33,70,0.17953190609349293
0,2023,3,1,33,70,0.13457475026299937
3,2023,3,1,47,70,0.3004306895528562
3,2023,3,1,47,70,0.17564311211415523
