experience_level,job_title,work_year,salary_in_usd
1.0,0.9130434782608695,1.0,85847
0.6666666666666666,0.717391304347826,1.0,30000
0.6666666666666666,0.717391304347826,1.0,25500
1.0,0.5108695652173912,1.0,175000
1.0,0.5108695652173912,1.0,120000
1.0,0.08695652173913043,1.0,222200
1.0,0.08695652173913043,1.0,136000
1.0,0.5108695652173912,1.0,219000
1.0,0.5108695652173912,1.0,141000
1.0,0.5108695652173912,1.0,147100
1.0,0.5108695652173912,1.0,90700
1.0,0.2717391304347826,1.0,130000
1.0,0.2717391304347826,1.0,100000
0.0,0.08695652173913043,1.0,213660
0.0,0.08695652173913043,1.0,130760
1.0,0.41304347826086957,1.0,147100
1.0,0.41304347826086957,1.0,90700
1.0,0.5108695652173912,1.0,170000
1.0,0.5108695652173912,1.0,150000
0.6666666666666666,0.2717391304347826,1.0,150000
0.6666666666666666,0.2717391304347826,1.0,110000
1.0,0.9565217391304348,1.0,275000
1.0,0.9565217391304348,1.0,174000
1.0,0.043478260869565216,1.0,230000
1.0,0.043478260869565216,1.0,143200
1.0,0.19565217391304346,1.0,225000
1.0,0.19565217391304346,1.0,156400
1.0,0.75,1.0,200000
1.0,0.75,1.0,130000
1.0,0.5434782608695652,1.0,90000
1.0,0.5434782608695652,1.0,72000
1.0,0.358695652173913,1.0,253200
1.0,0.358695652173913,1.0,90700
1.0,0.25,1.0,184590
0.6666666666666666,0.358695652173913,1.0,162500
0.6666666666666666,0.358695652173913,1.0,130000
0.6666666666666666,0.2717391304347826,1.0,105380
0.6666666666666666,0.2717391304347826,1.0,64500
0.0,0.44565217391304346,1.0,100000
0.0,0.2391304347826087,1.0,30000
0.6666666666666666,0.75,0.6666666666667425,20984
0.0,0.08695652173913043,1.0,204620
0.0,0.08695652173913043,1.0,110680
1.0,0.358695652173913,1.0,270703
1.0,0.358695652173913,1.0,221484
1.0,0.5108695652173912,1.0,212750
1.0,0.5108695652173912,1.0,185000
1.0,0.5108695652173912,1.0,262000
1.0,0.5108695652173912,1.0,245000
1.0,0.5108695652173912,1.0,275300
1.0,0.5108695652173912,1.0,183500
1.0,0.5108695652173912,1.0,218500
1.0,0.5108695652173912,1.0,199098
1.0,0.358695652173913,1.0,203300
1.0,0.358695652173913,1.0,123600
1.0,0.9565217391304348,1.0,189110
1.0,0.9565217391304348,1.0,139000
0.3333333333333333,0.5108695652173912,1.0,258750
0.3333333333333333,0.5108695652173912,1.0,185000
1.0,0.358695652173913,1.0,231500
1.0,0.358695652173913,1.0,166000
1.0,0.5108695652173912,1.0,172500
1.0,0.5108695652173912,1.0,110500
1.0,0.358695652173913,1.0,238000
1.0,0.358695652173913,1.0,176000
1.0,0.358695652173913,1.0,237000
1.0,0.358695652173913,1.0,201450
1.0,0.08695652173913043,1.0,159100
1.0,0.358695652173913,1.0,115000
1.0,0.358695652173913,1.0,81500
1.0,0.5108695652173912,1.0,237000
1.0,0.5108695652173912,1.0,201450
1.0,0.25,1.0,280000
1.0,0.25,1.0,210000
1.0,0.33695652173913043,1.0,280100
1.0,0.33695652173913043,1.0,168100
1.0,0.358695652173913,1.0,193500
1.0,0.358695652173913,1.0,139000
0.6666666666666666,0.5108695652173912,1.0,65062
1.0,0.75,1.0,150000
0.6666666666666666,0.06521739130434782,1.0,69751
0.6666666666666666,0.75,1.0,96578
1.0,0.19565217391304346,1.0,185900
1.0,0.19565217391304346,1.0,129300
1.0,0.358695652173913,1.0,225000
